weight,regulation,Charged_Content,Factor2,Factor3,Factor4,Factor5,Factor6,Political_Action,Factor8,Negative_Affect,correct_misinformation,bullying,support,deception,accurate_pic,censorship_very_likely,censorship_not_very_likely,censorship_not_at_all_likely,accept_selective_look,selective_vote_reminder,selective_emotion,male,some_college,college_grads,black,asian,mixed_race,other,below_30K,above_75K,very_conservative,conservative,liberal,very_liberal,age_18_29,age_50_64,age_65_up,region,ideology,age,race,income,education,SM6A_W35,SM6B_W35,political identity
0.6009322273,More Regulation,-0.7685348751043175,0.051798640427134446,0.1661090607550785,-0.603812884369619,-0.45578461260602776,-0.3149145388287871,-0.2033159299266732,0.31707318603325746,-0.553684160966928,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,1,2,2,3,3,moderate
0.4474894101,Enough Regulation,0.1835246230132217,-1.383087862439808,-0.08614739396903237,0.3084499011069318,0.10123404834944687,-0.5463812805300159,-1.2344481283062085,-0.7118934212724095,-0.5807579753073623,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4,2,4,1,3,1,3,3,conservative
0.142898459,More Regulation,-1.2771234774670839,1.0581440539127678,-0.9733745670170862,-0.31281662267770527,1.0839997510354238,-0.8919714472170868,-0.24658014848383886,0.7741929337355148,0.5896793012856679,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,2,2,1,2,very conservative
0.9623803817,More Regulation,-0.05499871031896722,0.4859411806637527,-0.9807685921714908,-0.6577603836444891,-0.6186008003104774,-0.8467799048043406,0.40929249901038867,-0.08130897084697303,0.48838113892411045,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,3,1,1,1,2,3,1,moderate
0.7127618149,Enough Regulation,-0.36494576259571143,-0.715217193742905,0.3396047416957207,-0.08683262120199435,-0.12943561392010727,0.33709149208890754,0.30883975889757276,-0.12467700662338951,0.5820973385937075,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,1,2,3,3,moderate
1.7634612716,Enough Regulation,1.028308334698451,0.9069631080206655,1.4919625347987444,-1.1578725272687485,-0.14339005483747921,-0.06724365167971195,-0.8406331962878035,-0.45637582175062585,-1.7226654811197228,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,4,1,2,3,3,3,very conservative
0.5716641327,Enough Regulation,0.6418244436686935,0.0030328421110052163,-0.6209044913466393,-0.0631178745290579,-0.17089609486426222,-0.5660979692713142,-0.5801780818520725,1.06337994444348,0.5213788017524088,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,1,1,2,3,2,moderate
0.7446465569,Enough Regulation,0.28801149324225805,0.9369891714515656,-0.8557855867385599,-0.8693645584781836,0.10830270881982011,0.2754997234165191,0.8545788078966322,2.205672097308378,0.6138397295205749,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,2,4,1,1,3,3,very conservative
0.1376890872,Enough Regulation,-1.2862906758536012,1.2919263945227994,-0.13648865551263054,-0.1874211859528681,0.16577194915083787,-1.1976381272473013,-0.5370196152232104,-0.5481588365880764,-0.515589159888301,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,2,1,1,3,moderate
0.3536815153,More Regulation,-0.6405354381695662,0.319866525695137,0.6494505928411644,-0.51226133354559,-0.28844728892361765,-0.14925677070867832,-0.43086931195432193,-0.09673974132923265,-1.5956518550310401,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,4,1,2,1,3,3,conservative
0.1423490956,More Regulation,-0.1666622720952977,0.10515165754668405,-0.5141375891582673,-0.7176603428360506,-0.23375384644511976,-0.25532476115390373,-1.0079000462909549,-0.49677065410461685,0.43396605553163653,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3,4,3,1,1,1,1,2,liberal
7.1457755586,Enough Regulation,0.20492921223055302,-3.0920662656198865,1.349322113141248,3.3471797114605324,1.7273697356725535,2.5776298274125353,0.6917562907874695,1.8774340379403986,-0.8101072988766305,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,4,1,5,2,2,3,3,liberal
0.1634588834,Enough Regulation,-0.10328697051598797,-1.5066715933325803,0.036879843155871325,-0.7794800888477993,-0.38610008183061345,0.7231391609022123,0.183939066243308,0.2572944097320647,-0.583533255630841,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,4,1,1,2,2,3,conservative
0.8904790009,More Regulation,0.14447295457150242,0.15411146129403874,-1.1143905112196473,0.4028302633846783,-0.6036110092374684,-0.020652066990621904,-0.008147115598546747,-0.8413793640267052,0.6242277633874067,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,2,1,2,1,3,3,liberal
0.0922839966,Enough Regulation,1.1386988716509652,-0.7087349809250252,-1.3740551460685253,-0.4730358849052842,0.18458899841288015,0.07033860538912526,-0.07065879401347239,0.6963352498478803,0.5141367908830561,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3,4,3,1,1,1,3,1,liberal
0.1088356553,Enough Regulation,-0.4628370764135228,0.7810515558206647,-0.23856557949246796,-0.49715643528176434,0.4318814737114395,-0.7945483988314974,-0.17470404081102292,-0.32140883723145697,-0.5687315931040472,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,4,1,1,1,2,1,moderate
